,0,1,2,3,4,5
0,frame,frame_time,sum_time,frame_fps,avg_fps,num_detect_ts
1,1.0,2.6665202,2.6665202,0.4,0.4,3.0
2,2.0,0.199353,2.8658732,5.0,0.7,3.0
3,3.0,0.1931462,3.0590194,5.2,1.0,3.0
4,4.0,0.2584026,3.317422,3.9,1.2,4.0
5,5.0,0.1900739,3.5074959,5.3,1.4,3.0
6,6.0,0.2267365,3.7342324,4.4,1.6,4.0
7,7.0,0.2256957,3.9599281,4.4,1.8,4.0
8,8.0,0.1897856,4.1497136999999995,5.3,1.9,4.0
9,9.0,0.2626887,4.4124023999999995,3.8,2.0,4.0
10,10.0,0.2600947,4.672497099999999,3.8,2.1,4.0
11,11.0,0.2557273,4.9282243999999995,3.9,2.2,4.0
12,12.0,0.2482927,5.1765171,4.0,2.3,4.0
13,13.0,0.1918845,5.3684016,5.2,2.4,4.0
14,14.0,0.2669072,5.635308800000001,3.7,2.5,4.0
15,15.0,0.2600253,5.8953341,3.8,2.5,4.0
16,16.0,0.2233414,6.1186755,4.5,2.6,4.0
17,17.0,0.2258356,6.3445111,4.4,2.7,4.0
18,18.0,0.2248601,6.5693712,4.4,2.7,4.0
19,19.0,0.221025,6.7903962,4.5,2.8,4.0
20,20.0,0.1914619,6.9818581,5.2,2.9,4.0
21,21.0,0.2573296,7.2391877000000004,3.9,2.9,4.0
22,22.0,0.2951184,7.5343061,3.4,2.9,4.0
23,23.0,0.3848636,7.9191697,2.6,2.9,4.0
24,24.0,0.2224315,8.1416012,4.5,2.9,4.0
25,25.0,0.3288227,8.4704239,3.0,3.0,4.0
26,26.0,0.2266019,8.6970258,4.4,3.0,4.0
27,27.0,0.2596912,8.956717000000001,3.9,3.0,4.0
28,28.0,0.2983527,9.255069700000002,3.4,3.0,4.0
29,29.0,0.2575142,9.512583900000001,3.9,3.0,4.0
30,30.0,0.2694878,9.782071700000001,3.7,3.1,4.0
31,31.0,0.3286983,10.11077,3.0,3.1,4.0
32,32.0,0.2590032,10.369773200000001,3.9,3.1,4.0
33,33.0,0.3014141,10.671187300000001,3.3,3.1,4.0
34,34.0,0.2931788,10.964366100000001,3.4,3.1,4.0
35,35.0,0.2982546,11.262620700000001,3.4,3.1,4.0
36,36.0,0.2558236,11.5184443,3.9,3.1,4.0
37,37.0,0.2962755,11.8147198,3.4,3.1,4.0
38,38.0,0.2607518,12.0754716,3.8,3.1,4.0
39,39.0,0.3266551,12.4021267,3.1,3.1,4.0
40,40.0,0.4280683,12.830195,2.3,3.1,4.0
41,41.0,0.2951521,13.125347099999999,3.4,3.1,4.0
42,42.0,0.2934008,13.4187479,3.4,3.1,4.0
43,43.0,0.3309713,13.7497192,3.0,3.1,4.0
44,44.0,0.334239,14.0839582,3.0,3.1,4.0
45,45.0,0.303257,14.3872152,3.3,3.1,4.0
46,46.0,0.335688,14.7229032,3.0,3.1,4.0
47,47.0,0.2325061,14.9554093,4.3,3.1,3.0
48,48.0,0.1572323,15.1126416,6.4,3.2,2.0
49,49.0,0.1917598,15.3044014,5.2,3.2,2.0
50,50.0,0.1569471,15.4613485,6.4,3.2,2.0
51,51.0,0.0497231,15.5110716,20.1,3.3,0.0
52,52.0,0.0493575,15.560429099999999,20.3,3.3,0.0
53,53.0,0.0494276,15.609856699999998,20.2,3.4,0.0
54,54.0,0.0481438,15.658000499999998,20.8,3.4,0.0
55,55.0,0.0488143,15.706814799999998,20.5,3.5,0.0
56,56.0,0.051149,15.757963799999999,19.6,3.6,0.0
57,57.0,0.0499314,15.807895199999999,20.0,3.6,0.0
58,58.0,0.0542021,15.862097299999999,18.4,3.7,0.0
59,59.0,0.0499598,15.912057099999998,20.0,3.7,0.0
60,60.0,0.0558388,15.967895899999998,17.9,3.8,0.0
61,61.0,0.0496268,16.017522699999997,20.2,3.8,0.0
62,62.0,0.0510708,16.0685935,19.6,3.9,0.0
63,63.0,0.0494473,16.1180408,20.2,3.9,0.0
64,64.0,0.0496478,16.167688599999998,20.1,4.0,0.0
65,65.0,0.0513834,16.219071999999997,19.5,4.0,0.0
66,66.0,0.0567632,16.275835199999996,17.6,4.1,0.0
67,67.0,0.048837,16.324672199999995,20.5,4.1,0.0
68,68.0,0.0491854,16.373857599999994,20.3,4.2,0.0
69,69.0,0.0496058,16.423463399999992,20.2,4.2,0.0
70,70.0,0.0496295,16.473092899999994,20.1,4.2,0.0
71,71.0,0.0495227,16.522615599999995,20.2,4.3,0.0
72,72.0,0.0493681,16.571983699999993,20.3,4.3,0.0
73,73.0,0.0495053,16.621488999999993,20.2,4.4,0.0
74,74.0,0.0498089,16.671297899999992,20.1,4.4,0.0
75,75.0,0.054115,16.72541289999999,18.5,4.5,0.0
76,76.0,0.0499489,16.77536179999999,20.0,4.5,0.0
77,77.0,0.0496117,16.82497349999999,20.2,4.6,0.0
78,78.0,0.0500299,16.87500339999999,20.0,4.6,0.0
79,79.0,0.0513342,16.92633759999999,19.5,4.7,0.0
80,80.0,0.0484736,16.97481119999999,20.6,4.7,0.0
81,81.0,0.0491845,17.02399569999999,20.3,4.8,0.0
82,82.0,0.0532597,17.07725539999999,18.8,4.8,0.0
83,83.0,0.0498146,17.127069999999993,20.1,4.8,0.0
84,84.0,0.0516423,17.178712299999994,19.4,4.9,0.0
85,85.0,0.0530931,17.231805399999995,18.8,4.9,0.0
86,86.0,0.0496401,17.281445499999997,20.1,5.0,0.0
87,87.0,0.0495794,17.331024899999996,20.2,5.0,0.0
88,88.0,0.0512397,17.382264599999996,19.5,5.1,0.0
89,89.0,0.0501173,17.432381899999996,20.0,5.1,0.0
90,90.0,0.0497488,17.482130699999995,20.1,5.1,0.0
91,91.0,0.0497985,17.531929199999997,20.1,5.2,0.0
92,92.0,0.048638,17.580567199999997,20.6,5.2,0.0
93,93.0,0.0598657,17.640432899999997,16.7,5.3,0.0
94,94.0,0.0502207,17.690653599999997,19.9,5.3,0.0
95,95.0,0.0496575,17.740311099999996,20.1,5.4,0.0
96,96.0,0.0497346,17.790045699999997,20.1,5.4,0.0
