0,1,2,3,4,5,6
frame,frame_time,sum_time,frame_fps,avg_fps,num_detected_signs,detected_signs
1,2.5213107,2.5213107,0.4,0.4,3,['Gefahrenstelle' 'Fahrtrichtung geradeaus' 'Vorfahrt gewšhren']
2,0.0885681,2.6098787999999997,11.3,0.8,3,['Max. 30km/h' 'Max. 100km/h' 'Unebene Fahrbahn']
3,0.0876398,2.6975185999999995,11.4,1.1,3,['Kinder' 'Max. 80km/h' 'Kurve rechts']
4,0.1969278,2.8944463999999996,5.1,1.4,4,"['Kinder' 'Max. 100km/h' 'Ende aller Geschw. Und ‹berholverbote'
 'Unebene Fahrbahn']"
5,0.0856181,2.9800644999999997,11.7,1.7,3,['Unebene Fahrbahn' 'Kreisverkehr' 'Max. 70km/h']
6,0.0851779,3.0652424,11.7,2.0,4,"['Max. 100km/h' 'Unebene Fahrbahn' '‹berholverbot fŁr Fzg > 3,5t'
 'Unebene Fahrbahn']"
7,0.0866782,3.1519206,11.5,2.2,4,['Einfahrt Verboten' 'Max. 50km/h' 'Unebene Fahrbahn' 'Ueberholverbot']
8,0.089405,3.2413256,11.2,2.5,4,['Unebene Fahrbahn' 'Kreisverkehr' 'Unebene Fahrbahn' 'Max. 80km/h']
9,0.0835491,3.3248747,12.0,2.7,4,['Max. 80km/h' 'Unebene Fahrbahn' 'Ueberholverbot' 'Vorfahrt']
10,0.0840497,3.4089244,11.9,2.9,4,['Max. 30km/h' 'Fahrtrichtung geradeaus' 'Lichtzeichenanlage' 'Radfahrer']
11,0.085595,3.4945194,11.7,3.1,4,['Max. 30km/h' 'Unebene Fahrbahn' 'Fahrtrichtung geradeaus' 'Radfahrer']
12,0.0840317,3.5785511000000003,11.9,3.4,4,['Max. 100km/h' 'Unebene Fahrbahn' 'Radfahrer' 'Max. 30km/h']
13,0.0856278,3.6641789000000005,11.7,3.5,4,"['‹berholverbot fŁr Fzg > 3,5t' 'Max. 100km/h' 'Unebene Fahrbahn'
 'Radfahrer']"
14,0.0858394,3.7500183000000002,11.6,3.7,4,['Rechts verengte Fahrbahn' 'Max. 80km/h' 'Unebene Fahrbahn' 'Max. 70km/h']
15,0.0841419,3.8341602000000004,11.9,3.9,4,['Kurve links' 'Max. 100km/h' 'Unebene Fahrbahn' 'Max. 100km/h']
16,0.0842094,3.9183696000000006,11.9,4.1,4,"['Max. 100km/h' 'Unebene Fahrbahn' 'Max. 100km/h'
 'Rechts verengte Fahrbahn']"
17,0.0848716,4.003241200000001,11.8,4.2,4,['Unebene Fahrbahn' 'Radfahrer' 'Max. 50km/h' 'Fahrtrichtung rechts']
18,0.0873367,4.0905779,11.4,4.4,4,"['Unebene Fahrbahn' 'Max. 50km/h' 'Fahrtrichtung rechts'
 'Unebene Fahrbahn']"
19,0.0835104,4.1740883,12.0,4.6,4,['Max. 100km/h' 'Unebene Fahrbahn' 'Max. 100km/h' 'Unebene Fahrbahn']
